1;1;1
2;5;1
2;1;2
3;5;1
3;7;2
4;1;1
4;9;2
5;11;1
5;8;2
5;7;3
5;1;4
6;6;1
6;7;2
7;1;1
8;5;1
8;3;2
9;5;1
10;1;1
11;15;1
11;6;2
11;3;3
12;7;1
12;15;2
13;7;1
14;9;1
15;1;1
15;6;2
16;10;1
17;8;1
17;1;2
18;12;1
18;1;2
18;10;3
19;10;1
20;10;1
20;8;2
20;6;3
21;4;1
22;1;1
22;2;2
23;1;1
23;8;2
24;6;1
24;1;2
25;15;1
26;1;1
26;15;2
26;8;3
27;5;1
28;5;1
29;1;1
30;5;1
31;15;1
31;11;2
31;1;3
32;8;1
32;5;2
32;12;3
33;1;1
34;1;1
35;5;1
36;1;1
36;7;2
37;8;1
37;1;2
38;7;1
38;8;2
39;6;1
39;2;2
40;5;1
41;5;1
42;7;1
42;4;2
42;8;3
43;6;1
44;3;1
44;7;2
45;6;1
46;7;1
47;1;1
48;6;1
49;8;1
49;7;2
50;1;1
50;6;2
51;6;1
52;5;1
53;1;1
54;5;1
54;1;2
54;7;3
55;5;1
55;1;2
56;1;1
56;13;2
56;8;3
57;1;1
57;6;2
58;4;1
59;13;1
59;6;2
60;4;1
61;1;1
62;3;1
62;8;2
62;6;3
63;12;1
63;6;2
63;10;3
64;12;1
65;5;1
65;8;2
66;12;1
67;1;1
67;6;2
68;4;1
68;10;2
68;7;3
68;2;4
69;1;1
69;8;2
70;11;1
71;8;1
71;7;2
72;6;1
72;1;2
72;5;3
73;1;1
74;6;1
74;10;2
75;1;1
76;6;1
77;8;1
77;11;2
78;7;1
78;4;2
79;6;1
80;13;1
80;6;2
80;1;3
81;5;1
82;9;1
82;7;2
82;6;3
82;5;4
83;15;1
83;7;2
84;7;1
84;1;2
85;1;1
86;13;1
87;1;1
87;14;2
87;9;3
88;7;1
88;1;2
88;6;3
89;5;1
90;13;1
90;8;2
90;1;3
91;1;1
91;5;2
91;7;3
92;3;1
92;6;2
93;1;1
94;9;1
94;7;2
95;7;1
96;1;1
97;1;1
97;3;2
98;7;1
98;6;2
98;1;3
98;8;4
99;4;1
100;8;1
100;7;2
101;13;1
102;1;1
102;7;2
103;1;1
104;13;1
105;1;1
105;7;2
106;2;1
106;7;2
106;12;3
107;6;1
107;3;2
108;6;1
109;3;1
109;1;2
110;9;1
110;1;2
111;1;1
111;7;2
112;6;1
113;7;1
114;6;1
114;5;2
115;12;1
116;7;1
116;13;2
117;7;1
117;1;2
118;13;1
119;7;1
120;1;1
120;7;2
120;4;3
121;10;1
122;12;1
123;9;1
124;6;1
124;5;2
125;1;1
126;1;1
126;8;2
127;5;1
128;4;1
128;5;2
128;1;3
129;8;1
129;1;2
130;7;1
131;7;1
132;7;1
133;4;1
134;7;1
134;8;2
134;9;3
135;11;1
135;7;2
135;1;3
135;6;4
136;7;1
136;1;2
136;5;3
137;5;1
138;1;1
139;10;1
140;2;1
141;1;1
142;1;1
142;5;2
143;15;1
143;7;2
144;8;1
144;7;2
145;1;1
146;5;1
147;1;1
148;1;1
148;6;2
149;1;1
150;6;1
150;1;2
151;8;1
152;7;1
152;11;2
152;1;3
153;5;1
153;7;2
153;6;3
154;8;1
155;1;1
156;9;1
156;7;2
156;6;3
157;2;1
157;1;2
157;8;3
158;15;1
158;6;2
159;8;1
160;9;1
161;7;1
161;1;2
161;5;3
162;1;1
162;14;2
163;10;1
163;7;2
164;1;1
164;15;2
165;4;1
165;1;2
165;7;3
166;7;1
167;14;1
167;11;2
167;13;3
167;1;4
168;12;1
168;5;2
168;7;3
169;7;1
169;5;2
169;9;3
170;1;1
170;6;2
171;5;1
172;1;1
173;5;1
173;8;2
174;6;1
175;1;1
176;12;1
176;6;2
177;15;1
178;1;1
179;5;1
180;1;1
181;5;1
181;13;2
181;7;3
182;15;1
182;7;2
183;7;1
183;5;2
184;8;1
185;7;1
186;6;1
187;1;1
187;6;2
187;5;3
187;8;4
188;5;1
189;8;1
189;15;2
189;5;3
190;15;1
190;6;2
191;8;1
192;10;1
192;5;2
192;8;3
193;1;1
194;11;1
194;5;2
194;8;3
195;6;1
196;1;1
196;11;2
197;5;1
197;8;2
198;7;1
199;1;1
199;7;2
200;6;1
201;7;1
201;11;2
201;5;3
201;13;4
202;1;1
203;7;1
203;10;2
203;13;3
204;8;1
205;1;1
205;8;2
206;3;1
207;1;1
208;5;1
209;4;1
210;14;1
211;8;1
211;1;2
212;5;1
212;4;2
212;1;3
213;1;1
213;7;2
214;6;1
214;1;2
215;7;1
216;10;1
217;8;1
217;2;2
218;6;1
218;5;2
219;7;1
219;5;2
220;12;1
220;8;2
221;13;1
222;1;1
223;1;1
223;5;2
224;1;1
224;7;2
225;13;1
226;5;1
226;8;2
